CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100),Cluster Group
1,Male,19,15,39,171
2,Male,21,15,81,170
3,Female,20,16,6,169
4,Female,23,16,77,168
5,Female,31,17,40,167
6,Female,22,17,76,166
7,Female,35,18,6,165
8,Female,23,18,94,164
9,Male,64,19,3,163
10,Female,30,19,72,161
11,Male,67,19,14,162
12,Female,35,19,99,160
13,Female,58,20,15,158
14,Female,24,20,77,157
15,Male,37,20,13,159
16,Male,22,20,79,156
17,Female,35,21,35,155
18,Male,20,21,66,154
19,Male,52,23,29,153
20,Female,35,23,98,152
21,Male,35,24,35,151
22,Male,25,24,73,22
23,Female,46,25,5,150
24,Male,31,25,73,22
25,Female,54,28,14,149
26,Male,29,28,82,146
27,Female,45,28,32,148
28,Male,35,28,61,147
29,Female,40,29,31,145
30,Female,23,29,87,144
31,Male,60,30,4,143
32,Female,21,30,73,142
33,Male,53,33,4,141
34,Male,18,33,92,138
35,Female,49,33,14,140
36,Female,21,33,81,139
37,Female,42,34,17,137
38,Female,30,34,73,136
39,Female,36,37,26,135
40,Female,20,37,75,134
41,Female,65,38,35,133
42,Male,24,38,92,132
43,Male,48,39,36,130
44,Female,31,39,61,129
45,Female,49,39,28,131
46,Female,24,39,65,128
47,Female,50,40,55,126
48,Female,27,40,47,127
49,Female,29,40,42,21
50,Female,31,40,42,21
51,Female,49,42,52,125
52,Male,33,42,60,20
53,Female,31,43,54,122
54,Male,59,43,60,20
55,Female,50,43,45,123
56,Male,47,43,41,124
57,Female,51,44,50,120
58,Male,69,44,46,121
59,Female,27,46,51,118
60,Male,53,46,46,119
61,Male,70,46,56,19
62,Male,19,46,55,19
63,Female,67,47,52,117
64,Female,54,47,59,6
65,Male,63,48,51,17
66,Male,18,48,59,6
67,Female,43,48,50,17
68,Female,68,48,48,18
69,Male,19,48,59,6
70,Female,32,48,47,18
71,Male,70,49,55,115
72,Female,47,49,42,116
73,Female,60,50,49,114
74,Female,60,50,56,113
75,Male,59,54,47,5
76,Male,26,54,54,3
77,Female,45,54,53,4
78,Male,40,54,48,5
79,Female,23,54,52,4
80,Female,49,54,42,16
81,Male,57,54,51,4
82,Male,38,54,55,3
83,Male,67,54,41,16
84,Female,46,54,44,112
85,Female,21,54,57,111
86,Male,48,54,46,5
87,Female,55,57,58,109
88,Female,22,57,55,110
89,Female,34,58,60,107
90,Female,50,58,46,108
91,Female,68,59,55,105
92,Male,18,59,41,106
93,Male,48,60,49,2
94,Female,40,60,40,104
95,Female,32,60,42,15
96,Male,24,60,52,102
97,Female,47,60,47,103
98,Female,27,60,50,2
99,Male,48,61,42,15
100,Male,20,61,49,2
101,Female,23,62,41,1
102,Female,49,62,48,13
103,Male,67,62,59,101
104,Male,26,62,55,14
105,Male,49,62,56,14
106,Female,21,62,42,1
107,Female,66,63,50,99
108,Male,54,63,46,12
109,Male,68,63,43,100
110,Male,66,63,48,13
111,Male,65,63,52,98
112,Female,19,63,54,97
113,Female,38,64,42,96
114,Male,19,64,46,12
115,Female,18,65,48,94
116,Female,19,65,50,93
117,Female,63,65,43,95
118,Female,49,65,59,92
119,Female,51,67,43,90
120,Female,50,67,57,11
121,Male,27,67,56,11
122,Female,38,67,40,91
123,Female,40,69,58,89
124,Male,39,69,91,88
125,Female,23,70,29,87
126,Female,31,70,77,86
127,Male,43,71,35,83
128,Male,40,71,95,82
129,Male,59,71,11,84
130,Male,38,71,75,10
131,Male,47,71,9,85
132,Male,39,71,75,10
133,Female,25,72,34,81
134,Female,31,72,71,80
135,Male,20,73,5,79
136,Female,29,73,88,76
137,Female,44,73,7,78
138,Male,32,73,73,77
139,Male,19,74,10,75
140,Female,35,74,72,74
141,Female,57,75,5,73
142,Male,32,75,93,72
143,Female,28,76,40,71
144,Female,32,76,87,70
145,Male,25,77,12,69
146,Male,28,77,97,66
147,Male,48,77,36,68
148,Female,32,77,74,67
149,Female,34,78,22,64
150,Male,34,78,90,0
151,Male,43,78,17,8
152,Male,39,78,88,0
153,Female,44,78,20,65
154,Female,38,78,76,62
155,Female,47,78,16,8
156,Female,27,78,89,0
157,Male,37,78,1,9
158,Female,30,78,78,61
159,Male,34,78,1,9
160,Female,30,78,73,63
161,Female,56,79,35,60
162,Female,29,79,83,59
163,Male,19,81,5,58
164,Female,31,81,93,57
165,Male,50,85,26,56
166,Female,36,85,75,55
167,Male,42,86,20,54
168,Female,33,86,95,53
169,Female,36,87,27,51
170,Male,32,87,63,50
171,Male,40,87,13,7
172,Male,28,87,75,49
173,Male,36,87,10,52
174,Male,36,87,92,48
175,Female,52,88,13,7
176,Female,30,88,86,45
177,Male,58,88,15,47
178,Male,27,88,69,46
179,Male,59,93,14,44
180,Male,35,93,90,43
181,Female,37,97,32,42
182,Female,32,97,86,41
183,Male,46,98,15,40
184,Female,29,98,88,39
185,Female,41,99,39,38
186,Male,30,99,97,37
187,Female,54,101,24,36
188,Male,28,101,68,35
189,Female,41,103,17,34
190,Female,36,103,85,31
191,Female,34,103,23,33
192,Female,32,103,69,32
193,Male,33,113,8,30
194,Female,38,113,91,29
195,Female,47,120,16,28
196,Female,35,120,79,27
197,Female,45,126,28,26
198,Male,32,126,74,25
199,Male,32,137,18,24
200,Male,30,137,83,23
